keys,en,zh
MENU_TITLE,Deep Contract,海渊契约
MENU_TAGLINE,"1,800 m below. Contract auto-renewing.",海面下 1800 米。合同自动续期。
MENU_START,Start a new contract,开始新合同
MENU_CONTINUE,Continue,继续
MENU_SETTINGS,Settings,设置
SETTINGS_TITLE,Settings,设置
SETTINGS_LANGUAGE,Language,语言
SETTINGS_MUSIC,Music,音乐
SETTINGS_EFFECTS,Sound effects,音效
SETTINGS_BACK,Back,返回
HUD_SUSPICION,SUSPICION,怀疑度
HUD_AIR,AIR,氧气
HUD_DAY,Day %d,第 %d 天
PANEL_CLOSE,Close,关闭
PANEL_CARRYING,Carrying,携带
PANEL_LOCKER,Locker,储物柜
PANEL_SHELF,Shelf,搁板
PANEL_HIDE,Hide,藏起
PANEL_TAKE,Take,取出
PANEL_MAKE,Make,制作
PANEL_TRADER,Trader,商人
PANEL_SELL,Sell,卖出
PANEL_BUY,Buy,买入
PROMPT_STASH,Open locker,打开储物柜
PROMPT_CRAFT,Use the bench,使用工作台
PROMPT_SLEEP,Sleep until morning,睡到天亮
PROMPT_PICK_UP,Pick up,拾取
PROMPT_TRADE,Trade,交易
PROMPT_TRAIN,Train,训练
PROMPT_WORK,Get on with it,干活
PROMPT_ESCAPE,Leave the rig,离开钻台
OUTCOME_TITLE,Contract terminated,合同终止
OUTCOME_DAYS,Days on the rig,在钻台的天数
OUTCOME_DEPARTURE,Time of departure,离开时刻
OUTCOME_DETAINED,Times detained,被关禁闭次数
OUTCOME_SEARCHED,Times searched,被搜身次数
OUTCOME_SUSPICION,Suspicion at the end,最终怀疑度
OUTCOME_CREDITS,Credits in pocket,剩余积分
OUTCOME_STATS,Technical / Conditioning / Pressure,技术 / 体能 / 耐压
OUTCOME_MENU,Back to the title,返回标题
NOTICE_SLEEP,You sleep through to the wake-up call.,你一觉睡到起床铃响。
NOTICE_INFIRMARY,You come round in the infirmary.,你在医务室醒来。
NOTICE_BLACKOUT,Power dip. Lights and cameras down.,电力骤降。照明与监控失效。
NOTICE_NOT_ON_SHIFT,Not on shift.,现在不是你的班。
NOTICE_SHIFT_DONE,Shift done. Report back at the next muster.,本班完成。下次点名时归队。
NOTICE_WRONG_POST,That is not your assignment.,那不是你的岗位。
NOTICE_NOTHING_HERE,Nothing to do here.,这里没什么可做的。
PANEL_LOCKER_HINT,Anything on the shelf is found the moment they look.,搁板上的东西，一搜就没。
PANEL_LOCKER_SPACE,"shelf %d free, hidden %d free",搁板剩 %d，暗格剩 %d
PANEL_TECHNICAL,Technical %d,技术 %d
PANEL_CAN_MAKE,Can be made here,此处可制作
PANEL_NO_RECIPES,Nothing is made at this station.,这个工位做不了东西。
PANEL_NOTHING_TO_SELL,Nothing to sell.,没有可卖的东西。
PANEL_CREDITS,%d credits,%d 积分
PANEL_HE_PAYS,he pays %d,他出 %d
PANEL_COSTS,costs %d,售价 %d
PANEL_NO_ROOM,no room,装不下
PANEL_CANNOT_AFFORD,cannot afford %d,买不起 %d
PANEL_MINUTES,%d min,%d 分钟
PANEL_NEEDS_TECHNICAL,needs Technical %d,需要技术 %d
PANEL_NEEDS,needs %s,还缺 %s
SCHEDULE_WAKE,Wake,起床
SCHEDULE_BREAKFAST,Breakfast,早餐
SCHEDULE_MORNING_MUSTER,Morning muster,晨间点名
